filename;Type;Strain;Rep;full_name;species
20220922_LFX_RH_019_RH110_P2_SPEMeOH_B07_1_pos.mzML;blank;634;rep1;blank_634_rep1;Sclerotinia sp.(634)
20220922_LFX_RH_051_RH110_P2_SPEMeOH_E03_1_pos.mzML;blank;634;rep2;blank_634_rep2;Sclerotinia sp.(634)
20220922_LFX_RH_056_RH110_P2_SPEMeOH_E08_1_pos.mzML;blank;634;rep3;blank_634_rep3;Sclerotinia sp.(634)
20220922_LFX_RH_016_RH110_P1_SPEMeOH_B04_1_pos.mzML;blank;730;rep1;blank_730_rep1;B. pseudocinerea aff.(730)
20220922_LFX_RH_033_RH110_P1_SPEMeOH_C09_1_pos.mzML;blank;730;rep2;blank_730_rep2;B. pseudocinerea aff.(730)
20220922_LFX_RH_072_RH110_P1_SPEMeOH_F12_1_pos.mzML;blank;730;rep3;blank_730_rep3;B. pseudocinerea aff.(730)
20220922_LFX_RH_032_RH110_P1_SPEMeOH_C08_1_pos.mzML;blank;740;rep1;blank_740_rep1;B. cinerea(740)
20220922_LFX_RH_048_RH110_P1_SPEMeOH_D12_1_pos.mzML;blank;740;rep2;blank_740_rep2;B. cinerea(740)
20220922_LFX_RH_052_RH110_P1_SPEMeOH_E04_1_pos.mzML;blank;740;rep3;blank_740_rep3;B. cinerea(740)
20220922_LFX_RH_029_RH110_P1_SPEMeOH_C05_1_pos.mzML;blank;784;rep1;blank_784_rep1;B. cinerea(784)
20220922_LFX_RH_039_RH110_P1_SPEMeOH_D03_1_pos.mzML;blank;784;rep2;blank_784_rep2;B. cinerea(784)
20220922_LFX_RH_046_RH110_P1_SPEMeOH_D10_1_pos.mzML;blank;784;rep3;blank_784_rep3;B. cinerea(784)
20220922_LFX_RH_009_RH110_P2_SPEMeOH_A09_1_pos.mzML;blank;1016;rep1;blank_1016_rep1;B. pseudocinerea(1016)
20220922_LFX_RH_015_RH110_P2_SPEMeOH_B03_1_pos.mzML;blank;1016;rep2;blank_1016_rep2;B. pseudocinerea(1016)
20220922_LFX_RH_079_RH110_P2_SPEMeOH_G07_1_pos.mzML;blank;1016;rep3;blank_1016_rep3;B. pseudocinerea(1016)
20220922_LFX_RH_021_RH110_P1_SPEMeOH_B09_1_pos.mzML;blank;1020;rep1;blank_1020_rep1;B. cinerea(1020)
20220922_LFX_RH_043_RH110_P1_SPEMeOH_D07_1_pos.mzML;blank;1020;rep2;blank_1020_rep2;B. cinerea(1020)
20220922_LFX_RH_074_RH110_P1_SPEMeOH_G02_1_pos.mzML;blank;1020;rep3;blank_1020_rep3;B. cinerea(1020)
20220922_LFX_RH_019_RH110_P1_SPEMeOH_B07_1_pos.mzML;blank;1227;rep1;blank_1227_rep1;B. pseudocinerea(1227)
20220922_LFX_RH_054_RH110_P1_SPEMeOH_E06_1_pos.mzML;blank;1227;rep2;blank_1227_rep2;B. pseudocinerea(1227)
20220922_LFX_RH_068_RH110_P1_SPEMeOH_F08_1_pos.mzML;blank;1227;rep3;blank_1227_rep3;B. pseudocinerea(1227)
20220922_LFX_RH_038_RH110_P2_SPEMeOH_D02_1_pos.mzML;blank;1228;rep1;blank_1228_rep1;B. aclada(1228)
20220922_LFX_RH_078_RH110_P2_SPEMeOH_G06_1_pos.mzML;blank;1228;rep2;blank_1228_rep2;B. aclada(1228)
20220922_LFX_RH_087_RH110_P2_SPEMeOH_H03_1_pos.mzML;blank;1228;rep3;blank_1228_rep3;B. aclada(1228)
20220922_LFX_RH_006_RH110_P2_SPEMeOH_A06_1_pos.mzML;blank;1230;rep1;blank_1230_rep1;B. pseudocinerea(1230)
20220922_LFX_RH_013_RH110_P2_SPEMeOH_B01_1_pos.mzML;blank;1230;rep2;blank_1230_rep2;B. pseudocinerea(1230)
20220922_LFX_RH_060_RH110_P2_SPEMeOH_E12_1_pos.mzML;blank;1230;rep3;blank_1230_rep3;B. pseudocinerea(1230)
20220922_LFX_RH_020_RH110_P2_SPEMeOH_B08_1_pos.mzML;blank;1233;rep1;blank_1233_rep1;B. pseudocinerea(1233)
20220922_LFX_RH_070_RH110_P2_SPEMeOH_F10_1_pos.mzML;blank;1233;rep2;blank_1233_rep2;B. pseudocinerea(1233)
20220922_LFX_RH_075_RH110_P2_SPEMeOH_G03_1_pos.mzML;blank;1233;rep3;blank_1233_rep3;B. pseudocinerea(1233)
20220922_LFX_RH_003_RH110_P1_SPEMeOH_A03_1_pos.mzML;blank;1235;rep1;blank_1235_rep1;B. pseudocinerea(1235)
20220922_LFX_RH_030_RH110_P1_SPEMeOH_C06_1_pos.mzML;blank;1235;rep2;blank_1235_rep2;B. pseudocinerea(1235)
20220922_LFX_RH_034_RH110_P1_SPEMeOH_C10_1_pos.mzML;blank;1235;rep3;blank_1235_rep3;B. pseudocinerea(1235)
20220922_LFX_RH_047_RH110_P1_SPEMeOH_D11_1_pos.mzML;blank;1238;rep1;blank_1238_rep1;B. pseudocinerea(1238)
20220922_LFX_RH_061_RH110_P1_SPEMeOH_F01_1_pos.mzML;blank;1238;rep2;blank_1238_rep2;B. pseudocinerea(1238)
20220922_LFX_RH_065_RH110_P1_SPEMeOH_F05_1_pos.mzML;blank;1238;rep3;blank_1238_rep3;B. pseudocinerea(1238)
20220922_LFX_RH_006_RH110_P1_SPEMeOH_A06_1_pos.mzML;blank;1239;rep1;blank_1239_rep1;B. pseudocinerea(1239)
20220922_LFX_RH_009_RH110_P1_SPEMeOH_A09_1_pos.mzML;blank;1239;rep2;blank_1239_rep2;B. pseudocinerea(1239)
20220922_LFX_RH_076_RH110_P1_SPEMeOH_G04_1_pos.mzML;blank;1239;rep3;blank_1239_rep3;B. pseudocinerea(1239)
20220922_LFX_RH_012_RH110_P1_SPEMeOH_A12_1_pos.mzML;blank;1244;rep1;blank_1244_rep1;B. pseudocinerea(1244)
20220922_LFX_RH_037_RH110_P1_SPEMeOH_D01_1_pos.mzML;blank;1244;rep2;blank_1244_rep2;B. pseudocinerea(1244)
20220922_LFX_RH_083_RH110_P1_SPEMeOH_G11_1_pos.mzML;blank;1244;rep3;blank_1244_rep3;B. pseudocinerea(1244)
20220922_LFX_RH_055_RH110_P2_SPEMeOH_E07_1_pos.mzML;blank;1255;rep1;blank_1255_rep1;B. pseudocinerea(1255)
20220922_LFX_RH_077_RH110_P2_SPEMeOH_G05_1_pos.mzML;blank;1255;rep2;blank_1255_rep2;B. pseudocinerea(1255)
20220922_LFX_RH_083_RH110_P2_SPEMeOH_G11_1_pos.mzML;blank;1255;rep3;blank_1255_rep3;B. pseudocinerea(1255)
20220922_LFX_RH_025_RH110_P2_SPEMeOH_C01_1_pos.mzML;blank;1260;rep1;blank_1260_rep1;B. cinerea(1260)
20220922_LFX_RH_041_RH110_P2_SPEMeOH_D05_1_pos.mzML;blank;1260;rep2;blank_1260_rep2;B. cinerea(1260)
20220922_LFX_RH_069_RH110_P2_SPEMeOH_F09_1_pos.mzML;blank;1260;rep3;blank_1260_rep3;B. cinerea(1260)
20220922_LFX_RH_013_RH110_P1_SPEMeOH_B01_1_pos.mzML;blank;1262;rep1;blank_1262_rep1;B. pseudocinerea(1262)
20220922_LFX_RH_044_RH110_P1_SPEMeOH_D08_1_pos.mzML;blank;1262;rep2;blank_1262_rep2;B. pseudocinerea(1262)
20220922_LFX_RH_082_RH110_P1_SPEMeOH_G10_1_pos.mzML;blank;1262;rep3;blank_1262_rep3;B. pseudocinerea(1262)
20220922_LFX_RH_005_RH110_P1_SPEMeOH_A05_1_pos.mzML;blank;1263;rep1;blank_1263_rep1;B. pseudocinerea(1263)
20220922_LFX_RH_066_RH110_P1_SPEMeOH_F06_1_pos.mzML;blank;1263;rep2;blank_1263_rep2;B. pseudocinerea(1263)
20220922_LFX_RH_084_RH110_P1_SPEMeOH_G12_1_pos.mzML;blank;1263;rep3;blank_1263_rep3;B. pseudocinerea(1263)
20220922_LFX_RH_008_RH110_P1_SPEMeOH_A08_1_pos.mzML;blank;1297;rep1;blank_1297_rep1;B. pelargonii cf.(1297)
20220922_LFX_RH_026_RH110_P1_SPEMeOH_C02_1_pos.mzML;blank;1297;rep2;blank_1297_rep2;B. pelargonii cf.(1297)
20220922_LFX_RH_079_RH110_P1_SPEMeOH_G07_1_pos.mzML;blank;1297;rep3;blank_1297_rep3;B. pelargonii cf.(1297)
20220922_LFX_RH_002_RH110_P2_SPEMeOH_A02_1_pos.mzML;blank;1630;rep1;blank_1630_rep1;B. pseudocinerea(1630)
20220922_LFX_RH_067_RH110_P2_SPEMeOH_F07_1_pos.mzML;blank;1630;rep2;blank_1630_rep2;B. pseudocinerea(1630)
20220922_LFX_RH_090_RH110_P2_SPEMeOH_H06_1_pos.mzML;blank;1630;rep3;blank_1630_rep3;B. pseudocinerea(1630)
20220922_LFX_RH_036_RH110_P2_SPEMeOH_C12_1_pos.mzML;blank;1732;rep1;blank_1732_rep1;B. cinerea(1732)
20220922_LFX_RH_045_RH110_P2_SPEMeOH_D09_1_pos.mzML;blank;1732;rep2;blank_1732_rep2;B. cinerea(1732)
20220922_LFX_RH_062_RH110_P2_SPEMeOH_F02_1_pos.mzML;blank;1732;rep3;blank_1732_rep3;B. cinerea(1732)
20220922_LFX_RH_017_RH110_P2_SPEMeOH_B05_1_pos.mzML;blank;2101;rep1;blank_2101_rep1;B. sp.(2101)
20220922_LFX_RH_043_RH110_P2_SPEMeOH_D07_1_pos.mzML;blank;2101;rep2;blank_2101_rep2;B. sp.(2101)
20220922_LFX_RH_058_RH110_P2_SPEMeOH_E10_1_pos.mzML;blank;2101;rep3;blank_2101_rep3;B. sp.(2101)
20220922_LFX_RH_038_RH110_P1_SPEMeOH_D02_1_pos.mzML;blank;2255;rep1;blank_2255_rep1;B. eucalypti cf.(2255)
20220922_LFX_RH_058_RH110_P1_SPEMeOH_E10_1_pos.mzML;blank;2255;rep2;blank_2255_rep2;B. eucalypti cf.(2255)
20220922_LFX_RH_086_RH110_P1_SPEMeOH_H02_1_pos.mzML;blank;2255;rep3;blank_2255_rep3;B. eucalypti cf.(2255)
20220922_LFX_RH_004_RH110_P2_SPEMeOH_A04_1_pos.mzML;blank;AHU9424;rep1;blank_AHU9424_rep1;B. pseudocinerea(AHU9424)
20220922_LFX_RH_022_RH110_P2_SPEMeOH_B10_1_pos.mzML;blank;AHU9424;rep2;blank_AHU9424_rep2;B. pseudocinerea(AHU9424)
20220922_LFX_RH_065_RH110_P2_SPEMeOH_F05_1_pos.mzML;blank;AHU9424;rep3;blank_AHU9424_rep3;B. pseudocinerea(AHU9424)
20220922_LFX_RH_031_RH110_P2_SPEMeOH_C07_1_pos.mzML;blank;GiK1;rep1;blank_GiK1_rep1;B. cinerea(GiK1)
20220922_LFX_RH_073_RH110_P2_SPEMeOH_G01_1_pos.mzML;blank;GiK1;rep2;blank_GiK1_rep2;B. cinerea(GiK1)
20220922_LFX_RH_088_RH110_P2_SPEMeOH_H04_1_pos.mzML;blank;GiK1;rep3;blank_GiK1_rep3;B. cinerea(GiK1)
20220922_LFX_RH_011_RH110_P1_SPEMeOH_A11_1_pos.mzML;blank;SAS405;rep1;blank_SAS405_rep1;B. cinerea(SAS405)
20220922_LFX_RH_063_RH110_P1_SPEMeOH_F03_1_pos.mzML;blank;SAS405;rep2;blank_SAS405_rep2;B. cinerea(SAS405)
20220922_LFX_RH_070_RH110_P1_SPEMeOH_F10_1_pos.mzML;blank;SAS405;rep3;blank_SAS405_rep3;B. cinerea(SAS405)
20220922_LFX_RH_024_RH110_P2_SPEMeOH_B12_1_pos.mzML;blank;SAS56;rep1;blank_SAS56_rep1;B. cinerea(SAS56)
20220922_LFX_RH_028_RH110_P2_SPEMeOH_C04_1_pos.mzML;blank;SAS56;rep2;blank_SAS56_rep2;B. cinerea(SAS56)
20220922_LFX_RH_054_RH110_P2_SPEMeOH_E06_1_pos.mzML;blank;SAS56;rep3;blank_SAS56_rep3;B. cinerea(SAS56)
20220922_LFX_RH_046_RH110_P2_SPEMeOH_D10_1_pos.mzML;incub;634;rep1;incub_634_rep1;Sclerotinia sp.(634)
20220922_LFX_RH_061_RH110_P2_SPEMeOH_F01_1_pos.mzML;incub;634;rep2;incub_634_rep2;Sclerotinia sp.(634)
20220922_LFX_RH_086_RH110_P2_SPEMeOH_H02_1_pos.mzML;incub;634;rep3;incub_634_rep3;Sclerotinia sp.(634)
20220922_LFX_RH_002_RH110_P1_SPEMeOH_A01_1_pos.mzML;incub;730;rep1;incub_730_rep1;B. pseudocinerea aff.(730)
20220922_LFX_RH_042_RH110_P1_SPEMeOH_D06_1_pos.mzML;incub;730;rep2;incub_730_rep2;B. pseudocinerea aff.(730)
20220922_LFX_RH_062_RH110_P1_SPEMeOH_F02_1_pos.mzML;incub;730;rep3;incub_730_rep3;B. pseudocinerea aff.(730)
20220922_LFX_RH_018_RH110_P1_SPEMeOH_B06_1_pos.mzML;incub;740;rep1;incub_740_rep1;B. cinerea(740)
20220922_LFX_RH_049_RH110_P1_SPEMeOH_E01_1_pos.mzML;incub;740;rep2;incub_740_rep2;B. cinerea(740)
20220922_LFX_RH_088_RH110_P1_SPEMeOH_H04_1_pos.mzML;incub;740;rep3;incub_740_rep3;B. cinerea(740)
20220922_LFX_RH_007_RH110_P1_SPEMeOH_A07_1_pos.mzML;incub;784;rep1;incub_784_rep1;B. cinerea(784)
20220922_LFX_RH_080_RH110_P1_SPEMeOH_G08_1_pos.mzML;incub;784;rep2;incub_784_rep2;B. cinerea(784)
20220922_LFX_RH_087_RH110_P1_SPEMeOH_H03_1_pos.mzML;incub;784;rep3;incub_784_rep3;B. cinerea(784)
20220922_LFX_RH_030_RH110_P2_SPEMeOH_C06_1_pos.mzML;incub;1016;rep1;incub_1016_rep1;B. pseudocinerea(1016)
20220922_LFX_RH_040_RH110_P2_SPEMeOH_D04_1_pos.mzML;incub;1016;rep2;incub_1016_rep2;B. pseudocinerea(1016)
20220922_LFX_RH_047_RH110_P2_SPEMeOH_D11_1_pos.mzML;incub;1016;rep3;incub_1016_rep3;B. pseudocinerea(1016)
20220922_LFX_RH_027_RH110_P1_SPEMeOH_C03_1_pos.mzML;incub;1020;rep1;incub_1020_rep1;B. cinerea(1020)
20220922_LFX_RH_053_RH110_P1_SPEMeOH_E05_1_pos.mzML;incub;1020;rep2;incub_1020_rep2;B. cinerea(1020)
20220922_LFX_RH_059_RH110_P1_SPEMeOH_E11_1_pos.mzML;incub;1020;rep3;incub_1020_rep3;B. cinerea(1020)
20220922_LFX_RH_002_RH110_P1_SPEMeOH_A02_1_pos.mzML;incub;1227;rep1;incub_1227_rep1;B. pseudocinerea(1227)
20220922_LFX_RH_023_RH110_P1_SPEMeOH_B11_1_pos.mzML;incub;1227;rep2;incub_1227_rep2;B. pseudocinerea(1227)
20220922_LFX_RH_077_RH110_P1_SPEMeOH_G05_1_pos.mzML;incub;1227;rep3;incub_1227_rep3;B. pseudocinerea(1227)
20220922_LFX_RH_016_RH110_P2_SPEMeOH_B04_1_pos.mzML;incub;1228;rep1;incub_1228_rep1;B. aclada(1228)
20220922_LFX_RH_032_RH110_P2_SPEMeOH_C08_1_pos.mzML;incub;1228;rep2;incub_1228_rep2;B. aclada(1228)
20220922_LFX_RH_048_RH110_P2_SPEMeOH_D12_1_pos.mzML;incub;1228;rep3;incub_1228_rep3;B. aclada(1228)
20220922_LFX_RH_021_RH110_P2_SPEMeOH_B09_1_pos.mzML;incub;1230;rep1;incub_1230_rep1;B. pseudocinerea(1230)
20220922_LFX_RH_052_RH110_P2_SPEMeOH_E04_1_pos.mzML;incub;1230;rep2;incub_1230_rep2;B. pseudocinerea(1230)
20220922_LFX_RH_068_RH110_P2_SPEMeOH_F08_1_pos.mzML;incub;1230;rep3;incub_1230_rep3;B. pseudocinerea(1230)
20220922_LFX_RH_011_RH110_P2_SPEMeOH_A11_1_pos.mzML;incub;1233;rep1;incub_1233_rep1;B. pseudocinerea(1233)
20220922_LFX_RH_042_RH110_P2_SPEMeOH_D06_1_pos.mzML;incub;1233;rep2;incub_1233_rep2;B. pseudocinerea(1233)
20220922_LFX_RH_085_RH110_P2_SPEMeOH_H01_1_pos.mzML;incub;1233;rep3;incub_1233_rep3;B. pseudocinerea(1233)
20220922_LFX_RH_067_RH110_P1_SPEMeOH_F07_1_pos.mzML;incub;1235;rep1;incub_1235_rep1;B. pseudocinerea(1235)
20220922_LFX_RH_071_RH110_P1_SPEMeOH_F11_1_pos.mzML;incub;1235;rep2;incub_1235_rep2;B. pseudocinerea(1235)
20220922_LFX_RH_073_RH110_P1_SPEMeOH_G01_1_pos.mzML;incub;1235;rep3;incub_1235_rep3;B. pseudocinerea(1235)
20220922_LFX_RH_017_RH110_P1_SPEMeOH_B05_1_pos.mzML;incub;1238;rep1;incub_1238_rep1;B. pseudocinerea(1238)
20220922_LFX_RH_051_RH110_P1_SPEMeOH_E03_1_pos.mzML;incub;1238;rep2;incub_1238_rep2;B. pseudocinerea(1238)
20220922_LFX_RH_081_RH110_P1_SPEMeOH_G09_1_pos.mzML;incub;1238;rep3;incub_1238_rep3;B. pseudocinerea(1238)
20220922_LFX_RH_056_RH110_P1_SPEMeOH_E08_1_pos.mzML;incub;1239;rep1;incub_1239_rep1;B. pseudocinerea(1239)
20220922_LFX_RH_060_RH110_P1_SPEMeOH_E12_1_pos.mzML;incub;1239;rep2;incub_1239_rep2;B. pseudocinerea(1239)
20220922_LFX_RH_090_RH110_P1_SPEMeOH_H06_1_pos.mzML;incub;1239;rep3;incub_1239_rep3;B. pseudocinerea(1239)
20220922_LFX_RH_040_RH110_P1_SPEMeOH_D04_1_pos.mzML;incub;1244;rep1;incub_1244_rep1;B. pseudocinerea(1244)
20220922_LFX_RH_045_RH110_P1_SPEMeOH_D09_1_pos.mzML;incub;1244;rep2;incub_1244_rep2;B. pseudocinerea(1244)
20220922_LFX_RH_055_RH110_P1_SPEMeOH_E07_1_pos.mzML;incub;1244;rep3;incub_1244_rep3;B. pseudocinerea(1244)
20220922_LFX_RH_007_RH110_P2_SPEMeOH_A07_1_pos.mzML;incub;1255;rep1;incub_1255_rep1;B. pseudocinerea(1255)
20220922_LFX_RH_035_RH110_P2_SPEMeOH_C11_1_pos.mzML;incub;1255;rep2;incub_1255_rep2;B. pseudocinerea(1255)
20220922_LFX_RH_039_RH110_P2_SPEMeOH_D03_1_pos.mzML;incub;1255;rep3;incub_1255_rep3;B. pseudocinerea(1255)
20220922_LFX_RH_003_RH110_P2_SPEMeOH_A03_1_pos.mzML;incub;1260;rep1;incub_1260_rep1;B. cinerea(1260)
20220922_LFX_RH_023_RH110_P2_SPEMeOH_B11_1_pos.mzML;incub;1260;rep2;incub_1260_rep2;B. cinerea(1260)
20220922_LFX_RH_074_RH110_P2_SPEMeOH_G02_1_pos.mzML;incub;1260;rep3;incub_1260_rep3;B. cinerea(1260)
20220922_LFX_RH_010_RH110_P1_SPEMeOH_A10_1_pos.mzML;incub;1262;rep1;incub_1262_rep1;B. pseudocinerea(1262)
20220922_LFX_RH_028_RH110_P1_SPEMeOH_C04_1_pos.mzML;incub;1262;rep2;incub_1262_rep2;B. pseudocinerea(1262)
20220922_LFX_RH_075_RH110_P1_SPEMeOH_G03_1_pos.mzML;incub;1262;rep3;incub_1262_rep3;B. pseudocinerea(1262)
20220922_LFX_RH_022_RH110_P1_SPEMeOH_B10_1_pos.mzML;incub;1263;rep1;incub_1263_rep1;B. pseudocinerea(1263)
20220922_LFX_RH_025_RH110_P1_SPEMeOH_C01_1_pos.mzML;incub;1263;rep2;incub_1263_rep2;B. pseudocinerea(1263)
20220922_LFX_RH_069_RH110_P1_SPEMeOH_F09_1_pos.mzML;incub;1263;rep3;incub_1263_rep3;B. pseudocinerea(1263)
20220922_LFX_RH_035_RH110_P1_SPEMeOH_C11_1_pos.mzML;incub;1297;rep1;incub_1297_rep1;B. pelargonii cf.(1297)
20220922_LFX_RH_064_RH110_P1_SPEMeOH_F04_1_pos.mzML;incub;1297;rep2;incub_1297_rep2;B. pelargonii cf.(1297)
20220922_LFX_RH_089_RH110_P1_SPEMeOH_H05_1_pos.mzML;incub;1297;rep3;incub_1297_rep3;B. pelargonii cf.(1297)
20220922_LFX_RH_010_RH110_P2_SPEMeOH_A10_1_pos.mzML;incub;1630;rep1;incub_1630_rep1;B. pseudocinerea(1630)
20220922_LFX_RH_018_RH110_P2_SPEMeOH_B06_1_pos.mzML;incub;1630;rep2;incub_1630_rep2;B. pseudocinerea(1630)
20220922_LFX_RH_063_RH110_P2_SPEMeOH_F03_1_pos.mzML;incub;1630;rep3;incub_1630_rep3;B. pseudocinerea(1630)
20220922_LFX_RH_002_RH110_P2_SPEMeOH_A01_1_pos.mzML;incub;1732;rep1;incub_1732_rep1;B. cinerea(1732)
20220922_LFX_RH_053_RH110_P2_SPEMeOH_E05_1_pos.mzML;incub;1732;rep2;incub_1732_rep2;B. cinerea(1732)
20220922_LFX_RH_081_RH110_P2_SPEMeOH_G09_1_pos.mzML;incub;1732;rep3;incub_1732_rep3;B. cinerea(1732)
20220922_LFX_RH_012_RH110_P2_SPEMeOH_A12_1_pos.mzML;incub;2101;rep1;incub_2101_rep1;B. sp.(2101)
20220922_LFX_RH_026_RH110_P2_SPEMeOH_C02_1_pos.mzML;incub;2101;rep2;incub_2101_rep2;B. sp.(2101)
20220922_LFX_RH_089_RH110_P2_SPEMeOH_H05_1_pos.mzML;incub;2101;rep3;incub_2101_rep3;B. sp.(2101)
20220922_LFX_RH_004_RH110_P1_SPEMeOH_A04_1_pos.mzML;incub;2255;rep1;incub_2255_rep1;B. eucalypti cf.(2255)
20220922_LFX_RH_020_RH110_P1_SPEMeOH_B08_1_pos.mzML;incub;2255;rep2;incub_2255_rep2;B. eucalypti cf.(2255)
20220922_LFX_RH_036_RH110_P1_SPEMeOH_C12_1_pos.mzML;incub;2255;rep3;incub_2255_rep3;B. eucalypti cf.(2255)
20220922_LFX_RH_044_RH110_P2_SPEMeOH_D08_1_pos.mzML;incub;AHU9424;rep1;incub_AHU9424_rep1;B. pseudocinerea(AHU9424)
20220922_LFX_RH_050_RH110_P2_SPEMeOH_E02_1_pos.mzML;incub;AHU9424;rep2;incub_AHU9424_rep2;B. pseudocinerea(AHU9424)
20220922_LFX_RH_084_RH110_P2_SPEMeOH_G12_1_pos.mzML;incub;AHU9424;rep3;incub_AHU9424_rep3;B. pseudocinerea(AHU9424)
20220922_LFX_RH_027_RH110_P2_SPEMeOH_C03_1_pos.mzML;incub;GiK1;rep1;incub_GiK1_rep1;B. cinerea(GiK1)
20220922_LFX_RH_066_RH110_P2_SPEMeOH_F06_1_pos.mzML;incub;GiK1;rep2;incub_GiK1_rep2;B. cinerea(GiK1)
20220922_LFX_RH_071_RH110_P2_SPEMeOH_F11_1_pos.mzML;incub;GiK1;rep3;incub_GiK1_rep3;B. cinerea(GiK1)
20220922_LFX_RH_014_RH110_P1_SPEMeOH_B02_1_pos.mzML;incub;SAS405;rep1;incub_SAS405_rep1;B. cinerea(SAS405)
20220922_LFX_RH_078_RH110_P1_SPEMeOH_G06_1_pos.mzML;incub;SAS405;rep2;incub_SAS405_rep2;B. cinerea(SAS405)
20220922_LFX_RH_085_RH110_P1_SPEMeOH_H01_1_pos.mzML;incub;SAS405;rep3;incub_SAS405_rep3;B. cinerea(SAS405)
20220922_LFX_RH_008_RH110_P2_SPEMeOH_A08_1_pos.mzML;incub;SAS56;rep1;incub_SAS56_rep1;B. cinerea(SAS56)
20220922_LFX_RH_037_RH110_P2_SPEMeOH_D01_1_pos.mzML;incub;SAS56;rep2;incub_SAS56_rep2;B. cinerea(SAS56)
20220922_LFX_RH_082_RH110_P2_SPEMeOH_G10_1_pos.mzML;incub;SAS56;rep3;incub_SAS56_rep3;B. cinerea(SAS56)
20220922_LFX_RH_005_RH110_P2_SPEMeOH_A05_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_014_RH110_P2_SPEMeOH_B02_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_015_RH110_P1_SPEMeOH_B03_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_024_RH110_P1_SPEMeOH_B12_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_029_RH110_P2_SPEMeOH_C05_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_031_RH110_P1_SPEMeOH_C07_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_033_RH110_P2_SPEMeOH_C09_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_034_RH110_P2_SPEMeOH_C10_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_041_RH110_P1_SPEMeOH_D05_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_049_RH110_P2_SPEMeOH_E01_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_050_RH110_P1_SPEMeOH_E02_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_057_RH110_P1_SPEMeOH_E09_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_057_RH110_P2_SPEMeOH_E09_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_059_RH110_P2_SPEMeOH_E11_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_064_RH110_P2_SPEMeOH_F04_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_072_RH110_P2_SPEMeOH_F12_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_076_RH110_P2_SPEMeOH_G04_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_080_RH110_P2_SPEMeOH_G08_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_091_RH110_P1_SPEMeOH_H07_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_091_RH110_P2_SPEMeOH_H07_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_092_RH110_P1_SPEMeOH_H08_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_092_RH110_P2_SPEMeOH_H08_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_093_RH110_P1_SPEMeOH_H09_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_093_RH110_P2_SPEMeOH_H09_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_094_RH110_P1_SPEMeOH_H10_1_pos.mzML;std;;;std__;
20220922_LFX_RH_094_RH110_P2_SPEMeOH_H10_1_pos.mzML;std;;;std__;
20220922_LFX_RH_095_RH110_P1_SPEMeOH_H11_1_pos.mzML;std;;;std__;
20220922_LFX_RH_095_RH110_P2_SPEMeOH_H11_1_pos.mzML;std;;;std__;
20220922_LFX_RH_096_RH110_P1_SPEMeOH_H12_1_pos.mzML;std;;;std__;
20220922_LFX_RH_096_RH110_P2_SPEMeOH_H12_1_pos.mzML;std;;;std__;
